date,change,stability
2014-08-29,-0.12260607968524265,2
2014-09-02,0.1063209216075817,1
2014-09-03,0.3256422444576708,1
2014-09-04,0.22597779329579795,1
2014-09-05,-0.5772692995460526,2
2014-09-08,0.12221625523642815,1
2014-09-09,0.6071330248423932,1
2014-09-10,-0.15300345851039826,2
2014-09-11,-0.4783931009454164,2
2014-09-12,0.6568926796503807,1
2014-09-15,0.22288100590005933,1
2014-09-16,-0.897314200507956,2
2014-09-17,0.10099123552544556,1
2014-09-18,-0.09782122066009287,2
2014-09-19,0.672266877076438,1
2014-09-22,0.8043374088920708,1
2014-09-23,0.4187601477313265,1
2014-09-24,-0.7445797339289465,2
2014-09-25,1.2038319138420477,1
2014-09-26,-0.6158316007852576,2
2014-09-29,-0.6665193964860386,2
2014-09-30,0.4787778513281449,1
2014-10-01,1.1839078525030289,1
2014-10-02,-0.18630397530733966,2
2014-10-03,-0.5016154743781567,2
2014-10-06,0.6528506068969464,1
2014-10-07,1.0833096700713318,1
2014-10-08,-1.596862719431522,2
2014-10-09,1.9873122988172207,1
2014-10-10,1.1809942256607984,1
2014-10-13,1.7922289254100336,1
2014-10-14,-0.03947576185748741,2
2014-10-15,-0.9391566027211772,2
2014-10-16,-2.121326575140789,2
2014-10-17,-0.15628214561841244,2
2014-10-20,-1.2566814980727472,2
2014-10-21,-1.4769668106243512,2
2014-10-22,1.035883093534902,1
2014-10-23,-0.3431164614077728,2
2014-10-24,-0.6167085467116414,2
2014-10-27,-0.2110456329736978,2
2014-10-28,-1.0364552449690612,2
2014-10-29,0.2997401761318388,1
2014-10-30,-0.9443279213998236,2
2014-10-31,-0.07438498045408998,2
2014-11-03,0.009232896195201236,0
2014-11-04,0.05121929051921162,1
2014-11-05,-0.0040844493114151285,0
2014-11-06,-0.5122149242589662,2
2014-11-07,-0.09189638358171567,2
2014-11-10,-0.3252212033539887,2
2014-11-11,-0.0040311695173008005,0
2014-11-12,-0.3369326538420228,2
2014-11-13,0.15292905552272013,1
2014-11-14,-0.0220581268597987,2
2014-11-17,-0.2574230235719085,2
2014-11-18,-0.5724223180757478,2
2014-11-19,0.09151123234742292,1
2014-11-20,-0.7362181749370694,2
2014-11-21,0.5438367586904489,1
2014-11-24,-0.17347756606645548,2
2014-11-25,0.2520256917445395,1
2014-11-26,-0.11529884272723585,2
2014-11-28,0.14272621176685868,1
2014-12-01,0.4925755568330578,1
2014-12-02,-0.5968280604361674,2
2014-12-03,-0.6076852994159821,2
2014-12-04,0.01086742395135634,1
2014-12-05,-0.10647329391282556,2
2014-12-08,0.5631824634822734,1
2014-12-09,-1.1233454751577507,2
2014-12-10,1.4284294561349924,1
2014-12-11,-0.07002767767455109,2
2014-12-12,0.7488569989848595,1
2014-12-15,1.0915874264286805,1
2014-12-16,0.2996582939860006,1
2014-12-17,-1.91836167487018,2
2014-12-18,-0.8505742014844655,2
2014-12-19,-0.249878744466536,2
2014-12-22,-0.4088496759053021,2
2014-12-23,0.04791491295790536,1
2014-12-24,0.04224144758190925,1
2014-12-26,0.029958656356949626,1
2014-12-29,-0.4023088745048127,2
2014-12-30,0.2604521626343561,1
2014-12-31,1.1439553555796702,1
2015-01-02,0.3595323463409933,1
2015-01-05,1.2629763372284508,1
2015-01-06,1.1158766921053804,1
2015-01-07,-0.4564470876159122,2
2015-01-08,-0.9589529980235674,2
2015-01-09,0.8957560345832127,1
2015-01-12,0.8185878621279749,1
2015-01-13,0.9652666891948214,1
2015-01-14,-0.6288723196202811,2
2015-01-15,1.2133396688588345,1
2015-01-16,-1.5438421759620935,2
2015-01-20,0.3313310648381144,1
2015-01-21,-0.8581311695020553,2
2015-01-22,-1.0029630424340832,2
2015-01-23,0.3603713101555314,1
2015-01-26,-0.6345320233760537,2
2015-01-27,-0.18884574970995294,2
2015-01-28,1.915964460715048,1
2015-01-29,-0.8231168689830514,2
2015-01-30,0.6547869704842719,1
2015-02-02,-0.8974195920345873,2
2015-02-03,-1.1238588413253634,2
2015-02-04,-0.004470988152491448,0
2015-02-05,-0.606100362830854,2
2015-02-06,0.6354599531178752,1
2015-02-09,0.13766821712892105,1
2015-02-10,-0.5779364746070211,2
2015-02-11,-0.06499545064357343,2
2015-02-12,-0.5861815327852931,2
2015-02-13,-0.2923325481016119,2
2015-02-17,-0.3545089093172161,2
2015-02-18,-0.4128288566496967,2
2015-02-19,-0.20513085032137326,2
2015-02-20,-0.7663477472323664,2
2015-02-23,-0.056209348641401535,2
2015-02-24,-0.218725584880278,2
2015-02-25,-0.05112555840360797,2
2015-02-26,0.3274262923159996,1
2015-02-27,0.2847259361941521,1
2015-03-02,-0.5957513574864154,2
2015-03-03,0.11966752192954,1
2015-03-04,0.22262203273715747,1
2015-03-05,-0.0912111654213179,2
2015-03-06,0.9227496990009962,1
2015-03-09,-0.254918070833224,2
2015-03-10,0.6888789650489499,1
