,year,symbol,change in 12 months,PE,PEG,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio,changeLabel
564,2015,LUV,11.590289395087048,13.010605909090911,0.1301060590909091,30.0,70.0,21.0,11.0,41.0,3
565,2013,LVLT,-49.74256486256694,-50.0,0.7729251972789116,8.0,42.0,11.0,2.0,44.0,0
566,2014,LVLT,-8.729509220980146,33.61382235772357,-0.09576030787956133,5.0,44.0,15.0,5.0,31.0,1
567,2015,LVLT,0.5556431468550841,5.326467507723995,0.007725890370873247,34.0,48.0,16.0,42.0,61.0,2
568,2014,M,-15.152198448299796,15.104325826972008,0.7764567495427797,24.0,40.0,10.0,5.0,40.0,1
569,2015,M,40.56307477328421,11.813953720930234,1.2548334627906992,28.0,40.0,10.0,5.0,44.0,3
570,2016,M,9.853105558009046,10.860429754601228,-0.44903699946908915,25.0,39.0,8.0,4.0,19.0,3
571,2014,MA,16.280340613742016,27.479260016077173,1.3078092266910808,53.0,100.0,54.0,38.0,126.0,3
572,2015,MA,1.7144038938035082,27.51934523809524,3.4234065476190447,63.0,100.0,53.0,39.0,130.0,2
573,2013,MAA,5.9114478218260516,27.801761674008812,-2.4542244788090537,4.0,73.0,18.0,19.0,74.4574898785425,3
574,2014,MAA,-17.303733232007083,34.766497461928935,-2.6306649746192887,5.0,72.0,23.0,16.0,74.4574898785425,1
575,2015,MAA,-11.845101608017856,18.882086281179138,0.1524496310406676,12.0,73.0,28.0,34.0,74.4574898785425,1
576,2013,MAC,5.3301605687783935,19.70099700996678,0.9889900499003322,13.0,59.0,21.0,41.0,74.4574898785425,3
577,2015,MAC,-7.460434731261243,26.845779707792207,-0.38049709450339636,10.0,61.0,23.0,38.0,74.4574898785425,2
578,2014,MAR,-32.66543433645881,24.557691730769225,0.9153321463286703,34.0,14.0,8.0,5.0,3.0,0
579,2015,MAR,7.687125542803513,22.722048757763975,0.9528601091965536,24.0,15.0,9.0,6.0,3.0,3
580,2014,MAS,1.4268461837413637,8.798330404208334,0.04077275065364838,93.0,29.0,10.0,12.0,62.0,2
581,2015,MAS,-17.295437755474122,24.573335464174757,-0.43048178915342644,263.0,32.0,13.0,5.0,61.0,1
582,2013,MAT,-13.219059892002191,16.275861877394636,1.0172413673371652,28.0,54.0,18.0,14.0,99.0,1
583,2014,MAT,31.738933323927142,26.815068493150683,-0.6085854675402026,17.0,50.0,11.0,8.0,89.0,3
584,2015,MAT,10.770907445053066,27.11574074074074,-1.0418153021442498,14.0,49.0,9.0,6.0,54.0,3
585,2013,MCD,-12.095600699774174,16.66815733452594,5.009707287765855,35.0,39.0,31.0,20.0,88.0,1
586,2014,MCD,-7.473901910784054,19.645360618556705,-1.4840211602396203,37.0,38.0,29.0,17.0,76.0,2
587,2015,MCD,-21.700721504503893,22.09024865145228,-20.0,64.0,39.0,28.0,18.0,260.0,0
588,2014,MCK,-3.2344682143790244,33.700544918330316,-9.621505574183297,15.0,6.0,2.0,1.0,14.0,2
589,2015,MCK,21.878856787215533,31.992935400313975,2.0497799308805793,18.0,6.0,2.0,1.0,16.0,3
590,2016,MCK,-16.53224425377169,17.06008131364562,0.31499338541426836,25.0,6.0,2.0,1.0,12.0,1
591,2013,MCO,-37.47612104878129,17.67711130790191,0.9417633438175328,239.0,72.0,42.0,27.0,185.0,0
592,2014,MCO,-5.044439762014324,18.66204722814499,0.6714677777185498,526.0,72.0,43.0,30.0,140.0,2
593,2015,MCO,-11.269900060343161,20.99361744680851,20.0,167.0,72.0,42.0,27.0,183.0,1
594,2013,MDLZ,-46.77713111420733,13.812216968325792,0.46040723227752633,12.0,37.0,11.0,11.0,18.0,0
595,2014,MDLZ,1.1243121439614372,27.930231782945732,-0.6709327417425008,8.0,37.0,9.0,6.0,12.0,2
596,2015,MDLZ,-15.743350727592029,9.091313919821825,0.03664935923928173,26.0,39.0,30.0,25.0,17.0,1
597,2013,MET,-31.768654749165435,14.938775510204083,0.09193092621664055,5.0,44.0,6.0,5.0,74.4574898785425,0
598,2014,MET,12.551250679487401,9.920620346715326,0.11482922763520888,9.0,47.0,12.0,9.0,74.4574898785425,3
