Period Ending,Ticker Symbol,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio
2014-12-31,CMA,8.0,0.0,0.0,23.0,74.4574898785425
2015-12-31,CMA,7.0,0.0,0.0,18.0,74.4574898785425
2016-12-31,CMA,6.0,0.0,0.0,16.0,74.4574898785425
2012-12-31,CME,4.0,100.0,61.0,32.0,74.4574898785425
2013-12-31,CME,5.0,100.0,53.0,35.0,74.4574898785425
2014-12-31,CME,5.0,100.0,55.0,38.0,74.4574898785425
2015-12-31,CME,6.0,100.0,58.0,39.0,74.4574898785425
2013-12-31,CMG,21.0,27.0,17.0,10.0,290.0
2015-12-31,CMG,22.0,26.0,17.0,11.0,237.0
2016-12-31,CMG,2.0,13.0,1.0,1.0,148.0
2013-12-31,CMI,20.0,25.0,12.0,9.0,85.0
2014-12-31,CMI,21.0,25.0,12.0,9.0,60.0
2015-12-31,CMI,19.0,26.0,11.0,7.0,48.0
2016-12-31,CMI,20.0,25.0,11.0,8.0,32.0
2013-12-31,CMS,13.0,31.0,17.0,7.0,10.0
2014-12-31,CMS,13.0,29.0,16.0,7.0,13.0
2015-12-31,CMS,14.0,34.0,18.0,8.0,12.0
2016-12-31,CMS,13.0,37.0,20.0,9.0,10.0
2012-12-31,CNC,0.0,16.0,1.0,0.0,74.4574898785425
2013-12-31,CNC,13.0,17.0,3.0,2.0,74.4574898785425
2014-12-31,CNC,16.0,23.0,3.0,2.0,74.4574898785425
2015-12-31,CNC,16.0,24.0,3.0,2.0,74.4574898785425
2012-12-31,CNP,10.0,36.0,14.0,6.0,33.0
2013-12-31,CNP,7.0,29.0,12.0,4.0,32.0
2014-12-31,CNP,13.0,25.0,10.0,7.0,44.0
2015-12-31,CNP,20.0,31.0,13.0,9.0,43.0
2012-12-31,COF,9.0,0.0,0.0,15.0,74.4574898785425
2013-12-31,COF,10.0,0.0,0.0,17.0,74.4574898785425
2014-12-31,COF,10.0,0.0,0.0,19.0,74.4574898785425
2015-12-31,COF,9.0,0.0,0.0,16.0,74.4574898785425
2012-12-31,COG,6.0,76.0,25.0,11.0,7.0
2013-12-31,COG,13.0,77.0,32.0,16.0,13.0
2014-12-31,COG,5.0,76.0,5.0,5.0,4.0
2015-12-31,COG,6.0,57.0,7.0,8.0,0.0
2013-09-30,COL,39.0,31.0,20.0,14.0,20.0
2014-09-30,COL,32.0,30.0,18.0,12.0,15.0
2015-09-30,COL,37.0,31.0,19.0,13.0,12.0
2016-09-30,COL,35.0,31.0,19.0,14.0,14.0
2013-10-31,COO,12.0,65.0,19.0,19.0,24.0
2014-10-31,COO,11.0,64.0,18.0,16.0,6.0
2015-10-31,COO,8.0,60.0,13.0,11.0,3.0
2016-10-31,COO,10.0,60.0,16.0,14.0,19.0
2013-09-01,COST,19.0,13.0,3.0,2.0,46.0
2014-08-31,COST,17.0,13.0,3.0,2.0,51.0
2015-08-30,COST,22.0,13.0,3.0,2.0,39.0
2016-08-28,COST,19.0,13.0,3.0,2.0,30.0
2013-07-28,CPB,38.0,36.0,13.0,6.0,10.0
2014-08-03,CPB,54.0,36.0,15.0,10.0,8.0
2015-08-02,CPB,48.0,34.0,13.0,8.0,9.0
2016-07-31,CPB,37.0,35.0,12.0,7.0,12.0
2013-01-31,CRM,12.0,78.0,4.0,9.0,30.0
2014-01-31,CRM,8.0,76.0,7.0,6.0,21.0
2015-01-31,CRM,7.0,76.0,3.0,5.0,23.0
2016-01-31,CRM,1.0,75.0,2.0,1.0,24.0
2013-07-27,CSCO,17.0,61.0,23.0,21.0,230.0
2014-07-26,CSCO,14.0,59.0,20.0,17.0,263.0
2015-07-25,CSCO,15.0,60.0,22.0,18.0,258.0
2016-07-30,CSCO,17.0,63.0,26.0,22.0,264.0
2015-04-03,CSRA,25.0,19.0,11.0,7.0,1.0
2016-04-01,CSRA,159.0,16.0,4.0,2.0,12.0
2013-12-31,CSX,18.0,67.0,29.0,15.0,45.0
2014-12-26,CSX,17.0,68.0,29.0,15.0,46.0
2015-12-25,CSX,17.0,72.0,30.0,17.0,74.0
2016-12-30,CSX,15.0,75.0,31.0,15.0,50.0
2013-05-31,CTAS,14.0,41.0,13.0,7.0,64.0
2014-05-31,CTAS,17.0,42.0,14.0,9.0,81.0
2015-05-31,CTAS,22.0,43.0,16.0,10.0,85.0
2016-05-31,CTAS,38.0,43.0,16.0,14.0,26.0
2012-12-31,CTL,4.0,58.0,15.0,4.0,5.0
2013-12-31,CTL,1.0,59.0,8.0,1.0,4.0
2014-12-31,CTL,5.0,56.0,13.0,4.0,3.0
2015-12-31,CTL,6.0,57.0,15.0,5.0,3.0
2012-12-31,CTSH,22.0,42.0,19.0,14.0,208.0
2013-12-31,CTSH,20.0,40.0,19.0,14.0,211.0
2014-12-31,CTSH,19.0,40.0,18.0,14.0,146.0
2015-12-31,CTSH,17.0,40.0,17.0,13.0,182.0
2013-12-31,CTXS,10.0,83.0,13.0,12.0,50.0
2014-12-31,CTXS,12.0,80.0,10.0,8.0,50.0
